lat,lon,id
47.6615683484712,15.9040047148,0
47.67307830290294,15.904568091437788,1
47.68458822469147,15.905131715193383,2
47.69609811337133,15.905695586229342,3
47.70760796847696,15.906259704708363,4
47.719117789542665,15.906824070793293,5
47.661186571120666,15.921042076166929,6
47.672696442839246,15.921609185137521,7
47.684206281893736,15.92217654285965,8
47.69571608781868,15.92274414949694,9
47.70722586014851,15.923312005213164,10
47.71873559841756,15.923880110172236,11
47.66080227008818,15.938079188945682,12
47.672312058547405,15.9386500300856,13
47.68382181432152,15.939221121610641,14
47.6953315369451,15.939792463685492,15
47.7068412259525,15.940364056475,16
47.718350880878155,15.940935900144154,17
47.660415445428484,15.955116051503744,18
47.67192515008217,15.955690624648433,19
47.68343482202961,15.956265449811678,20
47.69494446080537,15.956840527159253,21
47.70645406594382,15.957415856857057,22
47.717963636979306,15.957991439071172,23
47.660026097196685,15.972152662208746,24
47.67153571749868,15.972730967192591,25
47.6830453050732,15.97330952582828,26
47.6945548594547,15.973888338282658,27
